lat,lon,neighborhood,rooms,bedrooms,bathrooms,surface_covered,ars_price,ars_m2
-34.6477882,-58.5003913,Mataderos,1,0,2,35,5200000,148571
-34.5469109,-58.4786958,Saavedra,1,0,1,22,2695500,122522
-34.5469109,-58.4786958,Saavedra,1,0,1,22,2380500,108204
-34.6344961,-58.363133700000006,Boca,1,0,1,31,3445000,111129
-34.6309922,-58.3581586,Boca,4,3,1,78,8450000,108333
-34.6236828,-58.417792500000004,Boedo,2,1,1,51,9815000,192450
-34.6038897,-58.41099820000001,Abasto,2,1,1,54,10075000,186574
-34.617529,-58.468227299999995,Flores,3,2,1,41,6435000,156951
-34.542750299999994,-58.46014520000001,Nuñez,2,1,1,41,8255000,201341
-34.5507389064,-58.454652035900004,Nuñez,3,2,1,56,9555000,170625
-34.556346399999995,-58.4670983,Nuñez,3,2,1,42,9750000,232142
-34.556346399999995,-58.4670983,Nuñez,2,1,1,42,9750000,232142
-34.5976726,-58.3784223,Retiro,1,0,1,27,4875000,180555
-34.603005700000004,-58.41783100000001,Almagro,1,0,1,28,4875000,174107
-34.60526657,-58.42268753,Almagro,1,0,2,33,6415500,194409
-34.6111909,-58.41921429999999,Almagro,3,2,1,57,9750000,171052
-34.613938,-58.426634299999996,Almagro,3,2,1,93,14430000,155161
-34.5990571,-58.4290481,Almagro,4,3,2,93,14885000,160053
-34.6047609,-58.424501,Almagro,2,1,1,32,6175000,192968
-34.6209422,-58.4176377,Almagro,4,3,2,78,16835000,215833
-34.58874893,-58.42076492,Palermo,1,0,1,39,9555000,245000
-34.58874893,-58.42076492,Palermo,1,0,2,52,14235000,273750
-34.576290084,-58.4244499934,Palermo,2,1,1,60,21970000,366166
-34.577286,-58.437084999999996,Palermo,4,3,2,65,14950000,230000
-34.5901578,-58.41163420000001,Palermo,1,0,1,32,8970000,280312
-34.5826352,-58.4071054,Palermo,1,0,1,33,10075000,305303
-34.567937,-58.4333,Palermo,1,0,1,38,13000000,342105
-34.5832987412,-58.4431689377,Palermo,2,1,1,44,11050000,251136
-34.590962,-58.4353728,Palermo,3,2,1,80,14235000,177937
-34.58874893,-58.42076492,Palermo,2,1,2,45,14170000,314888
-34.5773953,-58.411463,Palermo,5,4,3,234,71500000,305555
-34.580394,-58.44136700000001,Palermo,2,1,1,50,13975000,279500
-34.590962,-58.4353728,Palermo,4,3,1,132,20150000,152651
-34.590962,-58.4353728,Palermo,4,3,1,132,20085000,152159
-34.5825491,-58.41735,Palermo,1,0,1,26,5720000,220000
-34.567609000000004,-58.43356899999999,Palermo,1,0,1,29,6370000,219655
-34.58874893,-58.42076492,Palermo,2,1,2,78,22490000,288333
-34.5633595,-58.439036800000004,Palermo,3,2,1,54,11440000,211851
-34.5705305416,-58.4486612306,Belgrano,4,3,1,70,14300000,204285
-34.556346399999995,-58.4670983,Belgrano,2,1,1,42,9750000,232142
-34.5633595,-58.439036800000004,Belgrano,3,2,1,54,11440000,211851
